"TimeCreated","Id","Message"
"10/13/2025 3:17:04 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:04Z. Reason: RulesEngine."
"10/13/2025 3:15:35 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:14:52 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:51Z. Reason: RulesEngine."
"10/13/2025 3:14:19 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:12:23 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:22Z. Reason: RulesEngine."
"10/13/2025 3:11:52 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:11:45 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:45Z. Reason: RulesEngine."
"10/13/2025 3:11:12 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:10:08 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:08Z. Reason: RulesEngine."
"10/13/2025 3:09:35 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:08:53 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:53Z. Reason: RulesEngine."
"10/13/2025 3:07:21 AM","15","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"10/13/2025 3:06:35 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:06:10 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:09Z. Reason: RulesEngine."
"10/13/2025 3:05:31 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:05:09 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:09Z. Reason: RulesEngine."
"10/13/2025 3:04:35 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:04:33 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:33Z. Reason: RulesEngine."
"10/13/2025 3:04:02 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:03:57 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:56Z. Reason: RulesEngine."
"10/13/2025 3:02:52 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:02:48 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:48Z. Reason: RulesEngine."
"10/13/2025 3:02:16 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:01:49 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:49Z. Reason: RulesEngine."
"10/13/2025 3:00:13 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 2:58:18 AM","15","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"10/13/2025 2:57:17 AM","4111","Successful auto update of third-party root list with effective date: ?Tuesday, ?August ?26, ?2025 7:56:46 PM."
"10/13/2025 2:57:17 AM","4108","Successful auto delete of third-party root certificate:: Subject: <OU=Class 3 Public Primary Certification Authority, O=""VeriSign, Inc."", C=US> Sha1 thumbprint: <4F65566336DB6598581D584A596C87934D5F2AB4>."
"10/13/2025 2:57:17 AM","4109","Successful auto property update of third-party root certificate:: Subject: <CN=Hotspot 2.0 Trust Root CA - 03, O=WFA Hotspot 2.0, C=US> Sha1 thumbprint: <51501FBFCE69189D609CFAF140C576755DCC1FDF>."
"10/13/2025 2:57:17 AM","4109","Successful auto property update of third-party root certificate:: Subject: <OU=Class 3 Public Primary Certification Authority, O=""VeriSign, Inc."", C=US> Sha1 thumbprint: <742C3192E607E424EB4549542BE1BBC53E6174E2>."
"10/13/2025 2:56:58 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:52Z. Reason: RulesEngine."
"10/13/2025 2:56:15 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 2:49:00 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:00Z. Reason: RulesEngine."
"10/13/2025 2:48:24 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 1:51:49 AM","0","Service stopped."
"10/13/2025 1:50:45 AM","1001","Fault bucket , type 0
Event Name: crashpad_log
Response: Not available
Cab Id: 0

Problem signature:
P1: MicrosoftEdgeUpdate.exe
P2: 1.3.203.13
P3: PostOOBEDiagnostics_0
P4: 0x80040827
P5: 
P6: 
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\EdgeUpdate\Log\MicrosoftEdgeUpdate.log

These files may be available here:


Analysis symbol: 
Rechecking for solution: 0
Report Id: 97a66342-5f3e-465c-b43e-ea3ca08d9f94
Report Status: 268697600
Hashed bucket: 
Cab Guid: 0"
"10/13/2025 1:50:45 AM","1001","Fault bucket 2254174648402039388, type 5
Event Name: crashpad_log
Response: Not available
Cab Id: 0

Problem signature:
P1: MicrosoftEdgeUpdate.exe
P2: 1.3.203.13
P3: PostOOBEDiagnostics_0
P4: 0x80040827
P5: 
P6: 
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\EdgeUpdate\Log\MicrosoftEdgeUpdate.log
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER1689.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER169A.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER16C7.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER16E8.tmp.txt

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_MicrosoftEdgeUpd_a03a6740e41a4b06d40e383cc27b784d24ed_00000000_97a66342-5f3e-465c-b43e-ea3ca08d9f94

Analysis symbol: 
Rechecking for solution: 0
Report Id: 97a66342-5f3e-465c-b43e-ea3ca08d9f94
Report Status: 268435456
Hashed bucket: 0bf45dc73ff9c2030f486fe64bb1d25c
Cab Guid: 0"
"10/13/2025 1:48:47 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:47Z. Reason: RulesEngine."
"10/13/2025 1:48:15 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 1:42:47 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:47Z. Reason: RulesEngine."
"10/13/2025 1:42:17 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 1:41:11 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:11Z. Reason: RulesEngine."
"10/13/2025 1:40:36 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 1:36:56 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:56Z. Reason: RulesEngine."
"10/13/2025 1:36:26 AM","16394","Offline downlevel migration succeeded."
